Server Column,Template Column,Wajib dashboard,Wajib server
tahun,tahun,ada (untuk agg),ada
BULANDATA,bulan,ada (untuk agg),ada
sandi,sandi,ada,ada
Total Nominal Transaksi mean,total_nominal_transaksi_mean,tidak,ada
Total Nominal Transaksi std,total_nominal_transaksi_std,tidak,ada
Total Nominal Transaksi min,total_nominal_transaksi_min,tidak,ada
Total Nominal Transaksi max,total_nominal_transaksi_max,tidak,ada
Total Nominal Transaksi sum,total_nominal_transaksi_sum,ada,ada
Total Nominal Transaksi 25%,total_nominal_transaksi_25%,tidak,ada
Total Nominal Transaksi 50%,total_nominal_transaksi_50%,tidak,ada
Total Nominal Transaksi 75%,total_nominal_transaksi_75%,tidak,ada
Frekuensi Pengiriman mean,frekuensi_pengiriman_mean,tidak,ada
Frekuensi Pengiriman std,frekuensi_pengiriman_std,tidak,ada
Frekuensi Pengiriman min,frekuensi_pengiriman_min,tidak,ada
Frekuensi Pengiriman max,frekuensi_pengiriman_max,tidak,ada
Frekuensi Pengiriman sum,frekuensi_pengiriman_sum,ada,ada
Frekuensi Pengiriman 25%,frekuensi_pengiriman_25%,tidak,ada
Frekuensi Pengiriman 50%,frekuensi_pengiriman_50%,tidak,ada
Frekuensi Pengiriman 75%,frekuensi_pengiriman_75%,tidak,ada
Most Frequent City,most_frequent_city,ada,ada
Selisih Transaksi Outgoing-Incoming,selisih_transaksi_outgoing-incoming,ada,ada
modal_disetor,modal_disetor,ada,ada
other_sandi_related_through_receiver,other_sandi_related_through_receiver,ada,ada
other_sandi_related_through_sender,other_sandi_related_through_sender,ada,ada
Total Nominal Transaksi mean_outlier,total_nominal_transaksi_mean_outlier,tidak,ada
Total Nominal Transaksi std_outlier,total_nominal_transaksi_std_outlier,tidak,ada
Frekuensi Pengiriman mean_outlier,frekuensi_pengiriman_mean_outlier,tidak,ada
Frekuensi Pengiriman std_outlier,frekuensi_pengiriman_std_outlier,tidak,ada
,most_frequent_sender,ada,tidak
,most_frequent_receiver,ada,tidak
,most_frequent_country,ada,tidak
,nama,tidak,tidak
,pemegang_saham,ada,tidak
,pemegang_saham_list,tidak,tidak
,kpwdn,ada,tidak
,pengurus,ada,tidak
,pulau,ada,tidak
,provinsi,tidak,tidak
,kota,ada,tidak
,nra_nr,tidak,tidak
,nra_apu,ada,tidak
,y_1pm_dt,tidak,tidak
,y_1pm_svr,tidak,tidak